City,Latitude,Longitude,AQI
Santiago,-33.4489,-70.6693,156
Dhaka,23.8103,90.4125,152
Beijing,39.9042,116.4074,138
Lahore,31.5497,74.3436,115
Kolkata,22.5726,88.3639,110
Johannesburg,-26.2041,28.0473,107
Lima,-12.0464,-77.0428,99
Jakarta,-6.2088,106.8456,99
Minneapolis,44.9778,-93.265,99
Karachi,24.8607,67.0011,97
Kuala Lumpur,3.139,101.6869,97
Dubai,25.2769,55.2962,95
Kuching,1.5533,110.359,92
Delhi,28.6139,77.209,88
Tashkent,41.2995,69.2401,87
Hangzhou,30.2741,120.1551,86
Accra,5.6037,-0.187,76
Wuhan,30.5928,114.3055,74
Baghdad,33.3152,44.3661,72
Melbourne,-37.8136,144.9631,69
Kuwait City,29.3759,47.9774,68
Hanoi,21.0285,105.8542,66
Krasnoyarsk,56.0153,92.8932,65
Detroit,42.3314,-83.0458,65
Mexico City,19.4326,-99.1332,64
Kampala,0.3476,32.5825,64
Chicago,41.8781,-87.6298,64
Toronto,43.6532,-79.3832,61
Guangzhou,23.1291,113.2644,61
Doha,25.2763,51.5224,60
Jerusalem,31.7683,35.2137,60
Kathmandu,27.7172,85.324,56
Nairobi,-1.2921,36.8219,56
Birmingham,52.4862,-1.8904,55
Sydney,-33.8688,151.2093,55
Yangon,16.8409,96.1735,54
Riyadh,24.7136,46.6753,53
Shanghai,31.2304,121.4737,53
Chongqing,29.4316,106.9123,53
Taipei,25.033,121.5654,50
Chengdu,30.5728,104.0668,48
Los Angeles,34.0522,-118.2437,48
Madrid,40.4168,-3.7038,46
Washington D.C,38.9072,-77.0379,48
Nice,43.7102,7.262,43
Algiers,36.7372,3.0865,41
Ho Chi Minh City,10.8231,106.6297,41
Astana,51.1694,71.4491,41
Bangkok,13.7563,100.5018,41
Munich,48.1351,11.582,37
Shenyang,41.7968,123.4294,37
Shenzhen,22.5431,114.0579,37
Kaohsiung,22.6273,120.3014,37
Istanbul,41.0082,28.9784,37
Lyon,45.764,4.8357,36
Belgrade,44.7866,20.4489,36
Denver,39.7392,-104.9903,36
Salt Lake City,40.7608,-111.891,36
Helsinki,60.1695,24.9354,35
Canberra,35.2809,149.13,35
Singapore,1.3521,103.8198,34
Mumbai,19.076,72.8777,33
Bratislava,48.1486,17.1077,33
Tel Aviv-Yafo,32.0853,34.7818,33
Vienna,48.2082,16.3738,33
Sao Paulo,-23.5505,-46.6333,33
Hong Kong,22.3193,114.1694,33
Chiang Mai,18.7061,98.9817,33
Skopje,42.0024,21.4361,30
Warsaw,52.2297,21.0122,30
Budapest,47.4979,19.0402,30
Prague,50.0755,14.4378,30
Bishkek,42.8746,74.5698,30
Rotterdam,51.9225,4.47917,28
Amsterdam,52.3676,4.9041,28
Paris,48.8566,2.3522,28
Houston,29.7604,-95.3698,28
Portland,45.5051,-122.675,28
Tokyo,35.6895,139.6917,27
Berlin,52.52,13.405,26
Brussels,50.8503,4.3517,25
Montreal,45.5017,-73.5673,25
Busan,35.1796,129.0756,25
Ulaanbaatar,47.8864,106.9057,24
Seattle,47.6062,-122.3321,24
Moscow,55.7558,37.6176,23
London,51.5074,-0.1278,22
Bogota,4.7109,-74.0721,21
Incheon,37.4563,126.7052,21
Poznan,52.4064,16.9252,20
Krakow,50.0647,19.945,19
Sarajevo,43.8563,18.4131,17
Seoul,37.5665,126.978,14
Bern,46.948,7.4474,13
Nagoya,35.1815,136.9066,12
Sofia,42.6977,23.3219,12
Vancouver BC,49.2827,-123.1207,12
Kyiv,50.4501,30.5234,12
New York City,40.7128,-74.006,12
Oslo,59.9139,10.7522,10
Milano,45.4642,9.19,8
Zagreb,45.815,15.9819,8
Kyoto,35.0116,135.7681,6
Pristina,42.6629,21.1655,6
Kabul,34.5553,69.2075,4
Rome,41.9028,12.4964,4
San Francisco,37.7749,-122.4194,1